Image,Letter,Landmarks
000000.png,A,"0.7068619728088379,0.5963133573532104,-5.789593160443474e-07,0.6889023184776306,0.4603780210018158,-0.030836913734674454,0.5972160696983337,0.3844241499900818,-0.038004256784915924,0.515966534614563,0.3631763160228729,-0.04154639318585396,0.4577193260192871,0.34110313653945923,-0.04003787040710449,0.4848559498786926,0.42917972803115845,-0.03573128208518028,0.4984169006347656,0.36298471689224243,-0.08202015608549118,0.5694851279258728,0.39956676959991455,-0.1030350774526596,0.6219781637191772,0.43908730149269104,-0.10788348317146301,0.4648667573928833,0.49908027052879333,-0.030931225046515465,0.5134702324867249,0.4371330738067627,-0.07678881287574768,0.5890757441520691,0.47384217381477356,-0.08089029043912888,0.6358784437179565,0.5058919787406921,-0.07261550426483154,0.4696299433708191,0.5660625100135803,-0.03239872679114342,0.5300236940383911,0.5090274810791016,-0.07613719254732132,0.6009683012962341,0.5331212878227234,-0.06825333088636398,0.6430873870849609,0.5567572116851807,-0.05115291476249695,0.48721247911453247,0.6317633390426636,-0.03678864985704422,0.5356740355491638,0.5799835324287415,-0.06927435845136642,0.5988569259643555,0.5889573097229004,-0.0678563266992569,0.6365532279014587,0.5989307761192322,-0.056633360683918"
000001.png,A,"0.6991965770721436,0.6286208033561707,-7.156736501201522e-07,0.6854277849197388,0.5057730078697205,-0.03588682785630226,0.617474377155304,0.4087575078010559,-0.0485820546746254,0.544213593006134,0.3650538921356201,-0.05805185064673424,0.48488032817840576,0.3304504454135895,-0.06332030892372131,0.49388575553894043,0.4156525135040283,-0.02566898800432682,0.5152692198753357,0.39356547594070435,-0.06965339183807373,0.5767180919647217,0.43693721294403076,-0.0984252467751503,0.6186497211456299,0.4794321656227112,-0.11009612679481506,0.4640212655067444,0.48486149311065674,-0.01902482844889164,0.5217356085777283,0.4759896397590637,-0.058782223612070084,0.5893619060516357,0.5172544717788696,-0.07141819596290588,0.631619393825531,0.5490948557853699,-0.07124648243188858,0.45771652460098267,0.557170569896698,-0.019042668864130974,0.5227407813072205,0.5520092248916626,-0.05704265832901001,0.587199330329895,0.5784708261489868,-0.05621728673577309,0.6305972337722778,0.5979928970336914,-0.0455784909427166,0.4670056998729706,0.6309002041816711,-0.022912919521331787,0.5240949392318726,0.6290907859802246,-0.05061229318380356,0.5817631483078003,0.6363513469696045,-0.0514817051589489,0.6178480386734009,0.6385701298713684,-0.04224316030740738"
000002.png,A,"0.7136222720146179,0.5956401824951172,-4.7625891852476343e-07,0.6975663304328918,0.48672422766685486,-0.04389014095067978,0.6102608442306519,0.4023706614971161,-0.05786186829209328,0.5313917994499207,0.360031396150589,-0.06756392866373062,0.4666440188884735,0.3258606791496277,-0.0720684826374054,0.4927900433540344,0.40687593817710876,-0.031605299562215805,0.4964277744293213,0.3893314003944397,-0.08500345051288605,0.5559661984443665,0.4261411428451538,-0.11615528166294098,0.6044488549232483,0.461402952671051,-0.12692232429981232,0.46726295351982117,0.4821445345878601,-0.023700742051005363,0.5025262236595154,0.4790189862251282,-0.07740339636802673,0.5721114873886108,0.5063497424125671,-0.09078865498304367,0.6254405379295349,0.5240164995193481,-0.08647140860557556,0.46549683809280396,0.5613200068473816,-0.024739619344472885,0.5132627487182617,0.5657868981361389,-0.07299970090389252,0.583572268486023,0.5755923986434937,-0.06972995400428772,0.6339800357818604,0.5777379274368286,-0.05437293276190758,0.47982144355773926,0.6360018849372864,-0.030612025409936905,0.5236583948135376,0.6397338509559631,-0.06682080775499344,0.585560142993927,0.6398078203201294,-0.06854546070098877,0.6248712539672852,0.6315653324127197,-0.058084115386009216"
000003.png,A,"0.7019137740135193,0.574622631072998,-5.277416335047747e-07,0.6714598536491394,0.45405685901641846,-0.028665361925959587,0.5960661172866821,0.3804702162742615,-0.04145364090800285,0.5227742195129395,0.3513028621673584,-0.05106319859623909,0.4682934880256653,0.3278527855873108,-0.057137295603752136,0.47239071130752563,0.4257383346557617,-0.03763522580265999,0.5207242965698242,0.39156588912010193,-0.08055185526609421,0.5844885110855103,0.4201393723487854,-0.10515234619379044,0.6282095313072205,0.44692420959472656,-0.11458750814199448,0.46406370401382446,0.5071521401405334,-0.03467881679534912,0.5382823944091797,0.47166410088539124,-0.07423176616430283,0.6038177013397217,0.4926315248012543,-0.08494028449058533,0.6459879279136658,0.510032594203949,-0.08476163446903229,0.4765056371688843,0.5792930126190186,-0.03585614636540413,0.5631174445152283,0.5464390516281128,-0.07020707428455353,0.6184212565422058,0.5511878728866577,-0.0690067857503891,0.6495239734649658,0.5591152310371399,-0.06029003858566284,0.5008633732795715,0.6462404727935791,-0.040081415325403214,0.5732163190841675,0.6160510778427124,-0.06291612237691879,0.6210759878158569,0.6051015853881836,-0.06297477334737778,0.6414053440093994,0.5988801121711731,-0.05529143661260605"
000004.png,A,"0.7106473445892334,0.6308218240737915,-7.455801664946193e-07,0.6712796688079834,0.4622642397880554,0.01180404331535101,0.5939013957977295,0.3973951041698456,0.02075965888798237,0.5252660512924194,0.3758578598499298,0.01840919256210327,0.4739876687526703,0.3430434763431549,0.019535508006811142,0.49630025029182434,0.4194297790527344,0.04725605994462967,0.49769121408462524,0.37363624572753906,-0.0037733435165137053,0.5598708987236023,0.4106767475605011,-0.03688093647360802,0.6097748875617981,0.44967663288116455,-0.050815846771001816,0.472891628742218,0.48598772287368774,0.020848724991083145,0.4976522922515869,0.4488656520843506,-0.043305788189172745,0.5700125694274902,0.4891437292098999,-0.06695741415023804,0.629406750202179,0.5215975642204285,-0.0663520097732544,0.46556127071380615,0.551618218421936,-0.014364474453032017,0.5072039365768433,0.5217868685722351,-0.07666486501693726,0.5783643126487732,0.5521213412284851,-0.08077147603034973,0.628868579864502,0.577937126159668,-0.06576266884803772,0.4654894173145294,0.6165522336959839,-0.05003485083580017,0.5035865306854248,0.5889904499053955,-0.0973675325512886,0.5668090581893921,0.6022377610206604,-0.10337737202644348,0.6078521609306335,0.61026531457901,-0.09399968385696411"
000005.png,A,"0.67693030834198,0.7023614645004272,-7.497814635826217e-07,0.6779723763465881,0.5810976624488831,-0.046794481575489044,0.6319172382354736,0.4528313875198364,-0.06322026252746582,0.5686495900154114,0.37985771894454956,-0.0748383104801178,0.507382333278656,0.34040018916130066,-0.08287235349416733,0.5168311595916748,0.4149664342403412,-0.021988457068800926,0.5022309422492981,0.42604944109916687,-0.07060874253511429,0.5468260645866394,0.4865370988845825,-0.10628322511911392,0.5889790654182434,0.5392280220985413,-0.12138938158750534,0.4714687466621399,0.47554609179496765,-0.010883931070566177,0.48158344626426697,0.5048643946647644,-0.05832517892122269,0.5453637838363647,0.5682780146598816,-0.0780755802989006,0.5974963903427124,0.6105841398239136,-0.07931070774793625,0.4480995833873749,0.5439814329147339,-0.008321828208863735,0.47005289793014526,0.5783777832984924,-0.053136639297008514,0.5338079929351807,0.6264178156852722,-0.054565709084272385,0.5857955813407898,0.656415581703186,-0.04147223383188248,0.43902140855789185,0.6150149703025818,-0.010364283807575703,0.4582606256008148,0.647312581539154,-0.04192955791950226,0.5148276090621948,0.6772498488426208,-0.041863471269607544,0.5561141967773438,0.6905649900436401,-0.029577570036053658"
000006.png,A,"0.7356573343276978,0.5512676239013672,8.768942194592455e-08,0.6719465851783752,0.41977864503860474,-0.014306304045021534,0.5724927186965942,0.35089606046676636,-0.015122094191610813,0.48702162504196167,0.34549063444137573,-0.02393222413957119,0.4284047484397888,0.37145256996154785,-0.031095540151000023,0.5083335041999817,0.4051913619041443,0.0193005558103323,0.44829481840133667,0.41315382719039917,-0.04109657183289528,0.5102014541625977,0.41661888360977173,-0.0810706838965416,0.5702245235443115,0.4067860245704651,-0.09881813079118729,0.508668065071106,0.47396883368492126,0.0037864861078560352,0.4431944489479065,0.47658631205558777,-0.07275360822677612,0.5227282643318176,0.4755207896232605,-0.10716718435287476,0.59202641248703,0.4725208282470703,-0.11149971187114716,0.5217311978340149,0.542316198348999,-0.020252086222171783,0.4632982611656189,0.5583766102790833,-0.0960705578327179,0.547751784324646,0.5522175431251526,-0.10206171125173569,0.6129633188247681,0.5454440116882324,-0.08340422809123993,0.5428735613822937,0.6186767220497131,-0.04564948007464409,0.5011518001556396,0.6299886107444763,-0.1009388193488121,0.5573126673698425,0.6076216101646423,-0.10640539228916168,0.609528124332428,0.5770836472511292,-0.09505504369735718"
000007.png,A,"0.6878412961959839,0.6897642016410828,-9.276919286094198e-07,0.6849017143249512,0.5677874684333801,-0.04469912126660347,0.6336404085159302,0.44916945695877075,-0.0660058781504631,0.5690943598747253,0.3814903497695923,-0.08334404230117798,0.5105165243148804,0.3310275375843048,-0.0971788614988327,0.5156139731407166,0.4134927988052368,-0.03605443611741066,0.5195451378822327,0.41982120275497437,-0.0828542560338974,0.5676413178443909,0.4816645383834839,-0.11736216396093369,0.6081410646438599,0.5329762101173401,-0.1345682144165039,0.47247979044914246,0.48329076170921326,-0.028362782672047615,0.49878600239753723,0.4992738366127014,-0.07490090280771255,0.5595651268959045,0.5559045672416687,-0.09458877891302109,0.6161730289459229,0.5988547205924988,-0.09879341721534729,0.45203131437301636,0.5582060217857361,-0.02743448130786419,0.488420695066452,0.5829492807388306,-0.06764982640743256,0.5474921464920044,0.6213411688804626,-0.07111933082342148,0.6007412672042847,0.6495699882507324,-0.0635615736246109,0.44630658626556396,0.63164222240448,-0.03137517347931862,0.47895345091819763,0.6582914590835571,-0.059811510145664215,0.5340450406074524,0.681838870048523,-0.062400832772254944,0.5757677555084229,0.6954594254493713,-0.055511344224214554"
000008.png,A,"0.706044614315033,0.6235002279281616,-3.4977199447894236e-07,0.6877360939979553,0.5106062889099121,-0.045238468796014786,0.6076727509498596,0.40750765800476074,-0.05719553679227829,0.5216830372810364,0.36826804280281067,-0.06481580436229706,0.45393648743629456,0.3481714129447937,-0.06611699610948563,0.5085905194282532,0.43051302433013916,-0.020259950309991837,0.47130250930786133,0.4225323796272278,-0.07139836996793747,0.5361135601997375,0.46811768412590027,-0.0968003123998642,0.5890571475028992,0.49411678314208984,-0.10214756429195404,0.48744767904281616,0.5068864822387695,-0.010023289360105991,0.4683580994606018,0.513274073600769,-0.07062427699565887,0.5519676208496094,0.5408939719200134,-0.08629884570837021,0.609919011592865,0.5516103506088257,-0.07877045124769211,0.48171359300613403,0.579194962978363,-0.008611084893345833,0.47443124651908875,0.5940449833869934,-0.06840380281209946,0.5607216358184814,0.6061114072799683,-0.0666065365076065,0.6150687336921692,0.6064110398292542,-0.04625825583934784,0.48718124628067017,0.6495616436004639,-0.010170776396989822,0.48837652802467346,0.6611427664756775,-0.05344035103917122,0.5556321740150452,0.6647865176200867,-0.054581981152296066,0.5991719365119934,0.6537702083587646,-0.04041576385498047"
000009.png,A,"0.7098803520202637,0.6248506307601929,-5.748835860686086e-07,0.6939741969108582,0.47982949018478394,-0.05842281132936478,0.6082422137260437,0.39552730321884155,-0.08186879754066467,0.528489351272583,0.36187058687210083,-0.09936465322971344,0.4687274694442749,0.3271486163139343,-0.10929297655820847,0.49177104234695435,0.4067264795303345,-0.05087492987513542,0.5017714500427246,0.3954072594642639,-0.1297096461057663,0.5680997967720032,0.4401516914367676,-0.17587138712406158,0.6147152781486511,0.4760828912258148,-0.1937868446111679,0.46560338139533997,0.48326045274734497,-0.04079081863164902,0.500698983669281,0.4865957200527191,-0.12773117423057556,0.5770255923271179,0.5216875672340393,-0.152932271361351,0.6303080320358276,0.544109582901001,-0.149793803691864,0.46158987283706665,0.5570031404495239,-0.04212787747383118,0.5080110430717468,0.5686291456222534,-0.11843691021203995,0.5837236642837524,0.5818052887916565,-0.11914796382188797,0.6329984664916992,0.5880029201507568,-0.09891536086797714,0.4672660827636719,0.6284937262535095,-0.04915029928088188,0.5115775465965271,0.6368914842605591,-0.10190340876579285,0.5734618902206421,0.6418309807777405,-0.10725804418325424,0.6096293926239014,0.6341518759727478,-0.09528891742229462"
